term,reason
neotree,Brand name
neotree's,Brand name
sally mugabe central hospital,Hospital name
chinhoyi provincial hospital,Hospital name
kamuzu central hospital,Hospital name
kasungu district hospital,Hospital name
cds,Technical abbreviation
ai,Technical abbreviation
ai-cds,Technical term
ai-enabled,Technical term
nicu,Medical abbreviation
nnu,Medical abbreviation
dhis2,System name
emrs,System abbreviation
moh,Government abbreviation
healthcare systems usability scale for clinical decision support systems,Specific assessment tool
gut feeling,Idiomatic expression
artificial intelligence,Technical term
aim 2,Research objective
normalization measure development questionnaire,Specific assessment tool
