english,shona,category
version,shanduko,document
objective,chinangwa,document
methodology,maitiro,document
duration,nguva,document
participants,vatori vechikamu,document
sites,nzvimbo,document
introduction,nhanganyaya,document
discussion,nhaurirano,document
interview,bvunzurudzo,document
guide,gwara,document
questionnaire,mubvunzo,document
focus group,boka rekutarisa,document
healthcare,hutano,medical
healthcare workers,vashandi vehutano,medical
hospital,chipatara,medical
patient,murwere,medical
clinical,kiriniki,medical
diagnosis,kuongororwa,medical
treatment,kurapwa,medical
medicine,mushonga,medical
doctor,chiremba,medical
nurse,mukoti,medical
midwife,nyamukuta,medical
newborn,mwana achangoberekwa,medical
baby,mwana,medical
neonatal,vana vachangoberekwa,medical
ward,wadhi,medical
facility,nzvimbo yehutano,medical
system,hurongwa,technology
technology,hunyanzvi,technology
application,application,technology
software,software,technology
data,data,technology
digital,dhijitari,technology
artificial intelligence,huchenjeri hwekugadzira,technology
decision support,rutsigiro rwesarudzo,technology
clinical decision support,rutsigiro rwesarudzo yekiriniki,technology
study,kudzidza,research
research,kutsvagisa,research
observation,kucherechedza,research
analysis,kuongororwa,research
findings,zvakawanwa,research
results,mhedzisiro,research
conclusion,mhedziso,research
recommendations,zviratidziro,research
experience,ruzivo,general
workflow,mukufamba webasa,general
efficiency,kushanda zvakanaka,general
quality,kunaka,general
safety,kuchengeteka,general
training,kudzidziswa,general
support,rutsigiro,general
implementation,kushandiswa,general
evaluation,kuongororwa,general
feedback,mhinduro,general
hello,mhoro,basic
good morning,mangwanani,basic
good afternoon,masikati,basic
good evening,manheru,basic
thank you,ndatenda,basic
please,ndapota,basic
yes,hongu,basic
no,kwete,basic
welcome,mutauya,basic
goodbye,chisarai zvakanaka,basic
